MX0000010141981TAVG 1031  I 1351  I 1570  I 1792  I 1922  I-9999    1946  I 1957  I-9999    1791  I 1462  I 1264  I
MX0000010141982TAVG-9999    1330  I 1662  I 2003  I 2123  I 2254  I 1968  I 1933  I 1870  I 1633  I-9999   -9999   
MX0000010141983TAVG 1027  I 1038  I 1391  I 1728  I 2072  I 2174  I 1875  I 1920  I 1891  I 1708  I 1406  I 1237  I
MX0000010141984TAVG 1176  I 1225  I 1616  I 1881  I 1920  I 2074  I 1832  I 1861  I 1778  I 1705  I 1386  I 1274  I
MX0000010141985TAVG 1086  I 1387  I 1635  I 1713  I 2084  I 1979  I 1794  I 1880  I 1893  I 1766  I 1407  I 1246  I
MX0000010141986TAVG-9999    1296  I 1285  I 1940  I 2069  I 1978  I 1864  I 1954  I 1929  I 1644  I 1512  I 1200  I
MX0000010141987TAVG 1083  I 1199  I 1432  I 1695  I 1860  I 2071  I 1938  I 1967  I 2001  I 1571  I 1344  I 1370  I
MX0000010141988TAVG 1110  I 1379  I 1466  I 1807  I 2029  I 2014  I 1939  I-9999    1804  I-9999   -9999    1271  I
MX0000010141989TAVG 1301  I 1371  I 1431  I 1768  I 2035  I 2117  I 1970  I 1898  I 1762  I 1605  I 1465  I 1073  I
MX0000010141990TAVG 1223  I 1248  I 1545  I 1776  I 2098  I 2094  I 1888  I 1856  I 1791  I 1645  I 1407  I 1212  I
MX0000010141991TAVG 1208  I 1338  I 1607  I 1845  I 2067  I 2076  I 1787  I 1906  I 1770  I 1529  I 1354  I 1275  I
MX0000010141992TAVG 1183  I 1203  I 1535  I 1590  I 1818  I 2042  I 1928  I 1854  I 1824  I 1600  I 1294  I 1301  I
MX0000010141993TAVG 1227  I 1294  I 1381  I 1648  I 1843  I 2067  I 1920  I 1922  I 1837  I 1691  I 1492  I 1262  I
MX0000010141994TAVG 1147  I 1417  I 1615  I 1755  I 2101  I 2015  I 1943  I 1924  I 1808  I 1718  I 1523  I 1347  I
MX0000010141995TAVG 1206  I 1478  I 1737  I 2124  I 2568  I 2207  I 1931  I 1929  I 1861  I 1614  I 1470  I 1241  I
MX0000010141996TAVG 1264  I 1465  I 1692  I 1776  I 2197  I 2104  I 2064  I 1961  I 1875  I 1854  I 1381  I 1446  I
MX0000010141997TAVG 1009  I 1318  I 1523  I 1606  I 1877  I 2151  I 2034  I 2033  I 1941  I 1700  I 1492  I 1082  I
MX0000010141998TAVG 1055  I 1137  I 1551  I 1856  I 2118  I 2275  I 2038  I 1961  I 1942  I 1734  I 1462  I-9999   
MX0000010181945TAVG 1452  I 1548  I 1805  I 1955  I 2159  I 2297  I 2054  I 1946  I 1890  I 1825  I 1628  I 1452  I
MX0000010181946TAVG 1317  I 1500  I 1696  I 1990  I 2202  I 2100  I 2031  I 2054  I 2065  I 1866  I 1523  I 1361  I
MX0000010181947TAVG 1362  I 1444  I 1668  I 1932  I 2046  I 2118  I 2072  I 1909  I 1829  I 1879  I 1496  I 1346  I
MX0000010181948TAVG 1215  I 1589  I 1748  I 1951  I 2161  I 2101  I 1978  I 2012  I 1869  I 1767  I 1643  I 1592  I
MX0000010181949TAVG 1429  I 1543  I 1779  I 1840  I 2122  I 2115  I 2033  I 1982  I 1973  I 1862  I 1279  I 1441  I
MX0000010181950TAVG 1480  I 1444  I 1737  I 1962  I 2236  I 2076  I 1937  I 1979  I 1992  I 1701  I 1415  I 1221  I
MX0000010181951TAVG 1293  I 1406  I 1647  I 1922  I 2013  I 2185  I 2054  I 2048  I 1924  I 1750  I 1713  I 1563  I
MX0000010181952TAVG 1509  I 1408  I 1802  I 1831  I 2111  I 2013  I 1984  I 2042  I 1896  I 1434  I-9999    1325  I
MX0000010181953TAVG 1082  I 1462  I 1808  I 1892  I 2150  I 2214  I 2018  I 2024  I 1696  I 1713  I 1230  I 1211  I
MX0000010181954TAVG 1382  I 1471  I 1778  I 1989  I 2147  I 2073  I 1878  I 1926  I 1840  I 1686  I 1389  I 1257  I
MX0000010181955TAVG 1265  I 1358  I-9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999 QI 1432  I 1103  I
MX0000010181956TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI
MX0000010181957TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999   -9999   -9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI
MX0000010181958TAVG 1062  I 1246  I 1563  I 2039  I 2044  I 2124  I 1949  I 1965  I 1953  I 1904  I 1667  I 1369  I
MX0000010181959TAVG 1180  I 1529  I 1643  I 1750  I 1947  I 1985  I 1890  I 1889  I 1829  I 1810  I 1508  I 1327  I
MX0000010181960TAVG 1325  I 1139  I 1531  I 1716  I 2078  I 2132  I 2039  I 2042  I 1834  I 1870  I 1587  I 1416  I
MX0000010181961TAVG 1293  I 1224  I 1456  I-9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   
MX0000010181962TAVG-9999    1317  I 1425  I 1697  I 2125  I 2141  I 2060  I-9999 QI 2035  I 1871  I 1351  I 1330  I
MX0000010181963TAVG 1344  I 1265  I 1698  I 2099  I 2084  I 2070  I 1938  I 1952  I 1904  I 1573  I 1432  I 1258  I
MX0000010181964TAVG 1168  I 1419  I 1628  I 1995  I 2071  I 2055  I 1950  I 1973  I 1890  I 1536  I 1438  I-9999   
MX0000010181965TAVG-9999    1235  I 1584  I 1915  I 2043  I 2066  I 1904  I 1839  I 1897  I 1507  I 1514  I 1238  I
MX0000010181966TAVG 1096  I 1287  I 1504  I 1753  I 2067  I 2033  I 1974  I 1882  I 1819  I 1657  I 1341  I 1213  I
MX0000010181967TAVG 1087  I 1325  I 1620  I 1961  I 2145  I 2171  I 2025  I 1950  I 1741  I 1605  I 1367  I 1324  I
MX0000010181968TAVG 1307  I 1313  I 1355  I 1848  I 2112  I 2090  I 1898  I 1908  I 1814  I 1787  I 1446  I 1312  I
MX0000010181969TAVG 1307  I 1403  I 1562  I 1927  I 1991  I 2207  I 2069  I 2004  I 1854  I 1721  I 1445  I 1241  I
MX0000010181970TAVG 1194  I 1238  I 1541  I 1957  I 2050  I 2020  I 1876  I 1939  I 1809  I 1714  I 1325  I 1321  I
MX0000010181971TAVG 1352  I 1363  I 1715  I 1727  I 2026  I 1915  I 1834  I 1737  I 1840  I 1743  I 1497  I 1375  I
MX0000010181972TAVG 1338  I 1376  I 1631  I 2008  I 2103  I 1945  I 1896  I 1811  I 1856  I 1759  I 1613  I 1305  I
MX0000010181973TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI
MX0000010181974TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI
MX0000010181975TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI
MX0000010181976TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI
MX0000010181977TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI 1982  I 1915  I 1935  I 1771  I 1738  I 1417  I 1279  I
MX0000010181978TAVG 1233  I 1203  I 1552  I 1949  I 2043  I 1982  I 1957  I 1840  I 1804  I 1590  I 1504  I 1360  I
MX0000010181979TAVG 1244  I 1301  I 1582  I 1876  I 1995  I 2063  I 2106  I 1911  I 1807  I 1706  I 1388  I 1281  I
MX0000010181980TAVG-9999   -9999    1782  I 1841  I 2200  I 2159  I 2109  I-9999   -9999    1721  I 1371  I 1231  I
MX0000010181981TAVG 1079  I-9999    1541  I-9999    2070  I-9999    1985  I 1979  I-9999    1817  I 1515  I 1313  I
MX0000010181982TAVG-9999    1477  I 1811  I 2099  I 2143  I 2320  I 1979  I 2008  I 1937  I 1693  I 1423  I-9999   
MX0000010181983TAVG 1071  I 1178  I 1494  I 1877  I 2186  I 2155  I 1917  I 1925  I 1884  I 1739  I 1519  I 1372  I
MX0000010181984TAVG 1297  I 1315  I 1659  I 1993  I 1976  I 2071  I 1776  I 1861  I 1764  I 1817  I 1512  I 1349  I
MX0000010181985TAVG 1181  I 1421  I 1703  I 1768  I 2147  I 1941  I 1776  I 1906  I 1879  I 1756  I 1485  I 1277  I
MX0000010181986TAVG 1184  I 1368  I 1457  I 1992  I 2093  I 2000  I 1852  I 1973  I 1911  I 1636  I 1612  I 1362  I
MX0000010181987TAVG 1144  I 1264  I 1488  I 1749  I 1921  I 2095  I 1933  I 1975  I 2021  I 1672  I 1470  I 1392  I
MX0000010181988TAVG 1144  I 1510  I 1549  I 1918  I 2175  I 2077  I 1954  I 1920  I 1837  I-9999   -9999    1363  I
MX0000010181989TAVG 1404  I 1506  I 1585  I 1873  I 2143  I 2191  I 2050  I 1922  I 1836  I 1709  I 1536  I 1157  I
MX0000010181990TAVG 1298  I 1310  I 1666  I 1936  I 2214  I 2172  I 1932  I 1892  I 1836  I 1743  I 1540  I 1377  I
MX0000010181991TAVG 1337  I 1479  I 1836  I 2047  I 2220  I 2134  I 1791  I 1936  I 1790  I 1657  I 1503  I 1399  I
MX0000010181992TAVG 1163  I 1278  I 1598  I 1723  I 1933  I 2172  I 2059  I 1952  I 1954  I 1659  I 1467  I 1435  I
MX0000010181993TAVG 1379  I 1499  I 1604  I 1845  I 2017  I 2152  I 1976  I 2002  I 1916  I 1846  I 1701  I 1514  I
MX0000010181994TAVG 1374  I 1620  I 1794  I 1967  I 2234  I 2024  I 2047  I 1969  I 1818  I 1810  I 1721  I 1527  I
MX0000010181995TAVG 1338  I 1552  I 1757  I 1946  I 2311  I 2215  I 1943  I 1910  I 1865  I 1747  I 1640  I 1350  I
MX0000010181996TAVG 1297  I 1565  I 1625  I 1863  I 2227  I 2112  I 2060  I 1963  I 1869  I 1702  I 1468  I 1438  I
MX0000010181997TAVG 1213  I 1456  I 1686  I 1697  I 2016  I 2236  I 2113  I 2140  I 2004  I 1815  I 1645  I 1258  I
MX0000010181998TAVG 1262  I 1336  I 1692  I 2056  I 2262  I 2305  I 2143  I 2033  I 1994  I 1889  I 1731  I 1488  I
MX0000010531933TAVG-9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999    1450  I 1340  I
MX0000010531934TAVG 1206  I 1413  I 1431  I 1800  I 1877  I 2149  I 1882  I 1886  I 1899  I 1702  I 1475  I 1456  I
MX0000010531935TAVG 1216  I 1080  I 1613  I 1846  I 2105  I 1989  I 1916  I 1912  I 1813  I 1464  I 1356  I 1244  I
MX0000010531936TAVG 1354  I-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI
MX0000010531937TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI 1861  I 1706  I 1486  I 1283  I
MX0000010531938TAVG 1245  I 1521  I 1751  I 1833  I 2067  I 1975  I 1909  I 1929  I 1842  I 1662  I 1516  I 1307  I
MX0000010531939TAVG 1259  I 1395  I 1631  I 1759  I 1931  I-9999 QI 1933  I 1922  I 1800  I 1685  I 1423  I 1319  I
MX0000010531940TAVG 1164  I 1259  I 1520  I 1846  I 2101  I 2120  I 2017  I 2001  I 1800  I 1847  I 1555  I 1290  I
MX0000010531941TAVG 1148  I 1413  I 1558  I 1840  I 1971  I 2123  I 1962  I 1966  I 1948  I 1869  I 1617  I 1401  I
MX0000010531942TAVG 1340  I 1501  I 1645  I 1876  I 2204  I 2088  I 1972  I 1945  I 1820  I 1755  I 1478  I 1263  I
MX0000010531943TAVG 1270  I 1461  I 1646  I 1872  I 2164  I 1954  I 2018  I 2040  I 1948  I 1655  I 1329  I 1309  I
MX0000010531944TAVG 1110  I 1486  I 1521  I 1860  I 1986  I 2152  I 2022  I 1924  I 1836  I 1506  I 1519  I 1145  I
MX0000020061953TAVG-9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999     906  I
MX0000020061954TAVG  894  I 1476  I 1265  I 1639  I 1686  I 2064  I 2670  I 2399  I 2605  I 1914  I 1501  I 1156  I
MX0000020061955TAVG  782  I 1011  I 1361  I 1708  I 1592  I 2103  I 2482  I 2626  I 2373  I 1947  I 1320  I 1199  I
MX0000020061956TAVG 1191  I  972  I 1142  I 1367  I 1882  I-9999   -9999   -9999    2663  I 1688  I 1564  I-9999   
MX0000020061957TAVG 1181  I 1386  I 1306  I 1594  I 1527  I 2297  I 2762  I 2664  I-9999   -9999   -9999    1398  I
MX0000020061958TAVG 1118  I 1217  I 1070  I 1616  I 2111  I 2117  I 2150  I-9999 QI 1775  I-9999    1610  I 1263  I
MX0000020061959TAVG 1281  I 1175  I 1437  I 1622  I 1539  I 2097  I 2469  I 2348  I 2130  I 1944  I 1542  I-9999   
MX0000020061960TAVG-9999   -9999    1584  I 1656  I 1724  I-9999    2821  I 2578  I 2556  I 1754  I 1374  I 1034  I
MX0000020061961TAVG 1140  I-9999    1472  I 1596  I 1645  I 2275  I 2719  I 2622  I 1741  I 1373  I 1176  I  952  I
MX0000020061962TAVG-9999    1092  I 1018  I-9999   -9999   -9999    2646  I 2788  I 2401  I 1697  I 1276  I-9999   
MX0000020061963TAVG  821  I 1362  I 1291  I 1510  I 1826  I 2066  I 2752  I 2611  I 2362  I 2136  I 1350  I-9999   
MX0000020061964TAVG  948  I 1259  I 1164  I 1582  I 1874  I 2076  I 2469  I 2634  I 2144  I 2001  I 1328  I  978  I
MX0000020061965TAVG 1097  I 1358  I 1336  I 1714  I 1623  I 1775  I 2554  I 2545  I 2124  I 1662  I 1518  I-9999   
MX0000020061966TAVG  957  I  967  I-9999   -9999    1616  I 2002  I 2570  I 2636  I 2619  I 1877  I 1466  I 1345  I
MX0000020061967TAVG 1282  I-9999   -9999    1633  I 1696  I 1968  I 2719  I 2909  I-9999    2217  I 1780  I 1100  I
MX0000020061968TAVG-9999    1337  I-9999   -9999    1479  I-9999 QI 2100  I 2637  I 2232  I 1811  I 1404  I 1527  I
MX0000020061969TAVG 1266  I 1211  I 1341  I 1560  I 1699  I 1868  I 2449  I 2667  I 2428  I 2134  I-9999     985  I
MX0000020061970TAVG 1063  I 1213  I 1070  I 1392  I 1517  I 2834  I 3045  I 3005  I 2701  I-9999   -9999   -9999   
MX0000020061971TAVG  794  I 1319  I 1382  I-9999   -9999    2146  I 2442  I 2322  I 2151  I 1445  I-9999     866  I
MX0000020061972TAVG  894  I 1228  I 1509  I 1619  I 1802  I 2151  I 2768  I 2504  I 2135  I 1706  I 1169  I  960  I
MX0000020061973TAVG  884  I 1088  I 1029  I 1529  I 1825  I 2320  I 2628  I 2764  I 2366  I 1823  I 1465  I 1115  I
MX0000020061974TAVG 1118  I-9999    1347  I 1814  I 1813  I 2616  I 2796  I 2796  I 2603  I 2008  I 1498  I 1015  I
MX0000020061975TAVG 1131  I 1084  I 1179  I 1182  I 1623  I 2094  I 2558  I 2733  I 2415  I 1697  I 1401  I 1125  I
MX0000020061976TAVG 1094  I 1243  I 1231  I 1353  I 1831  I 2315  I 2460  I 2684  I 2082  I 1764  I 1439  I 1246  I
MX0000020061977TAVG 1032  I 1318  I 1133  I 1514  I 1555  I 2246  I 2624  I 2610  I 2467  I 1968  I 1586  I 1372  I
MX0000020061978TAVG 1032  I 1081  I 1312  I 1336  I 1712  I 2481  I 2787  I 2673  I 2376  I 2270  I 1196  I  978  I
MX0000020061979TAVG  867  I 1019  I 1273  I 1294  I 1594  I 2281  I 2481  I 2191  I-9999 XI-9999 QI-9999 XI-9999 XI
MX0000020061980TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI 1486  I 1247  I
MX0000020061981TAVG 1161  I 1243  I 1187  I 1520  I 1680  I 2239  I 2647  I 2779  I 2549  I 1702  I 1646  I 1380  I
MX0000020061982TAVG 1502  I 1291  I 1352  I 1728  I 1504  I 1928  I 2651  I 2778  I 2252  I 1827  I 1335  I 1045  I
MX0000020061983TAVG 1219  I 1273  I 1294  I 1311  I 1781  I 1913  I 2660  I 2617  I 2555  I 1876  I 1442  I 1263  I
MX0000020061984TAVG 1180  I 1323  I 1568  I 1654  I 1917  I-9999    2460  I 2641  I-9999    1761  I 1627  I 1026  I
MX0000020061985TAVG 1045  I 1209  I 1275  I 1742  I 1767  I 2191  I 2554  I 2503  I-9999    1810  I 1133  I 1143  I
MX0000020061986TAVG 1269  I 1171  I-9999    1700  I 1889  I 2127  I 2286  I 2544  I 2206  I 1852  I 1770  I 1673  I
MX0000020061987TAVG-9999    1576  I 1614  I 1665  I-9999    2236  I-9999    2337  I 1986  I 2136  I 1821  I 1425  I
MX0000020061988TAVG-9999    1448  I 1859  I-9999    1986  I 1841  I 2283  I 2542  I-9999    2086  I 1491  I 1374  I
MX0000020061989TAVG 1391  I 1655  I-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999   -9999   -9999   -9999 XI
MX0000020061990TAVG-9999 XI-9999 XI-9999 XI 1416  I 1623  I-9999 QI 2188  I 2550  I 2360  I-9999    1428  I 1428  I
MX0000020061991TAVG-9999    1296  I 1416  I-9999    1669  I 1621  I 2032  I-9999    2410  I 1779  I 1268  I 1321  I
MX0000020061992TAVG 1467  I 1541  I 1529  I 1703  I-9999    2555  I 2169  I-9999   -9999    2228  I 1122  I 1095  I
MX0000020061993TAVG 1394  I 1433  I 1655  I 2031  I 2258  I-9999 QI 2002  I 2508  I 1886  I 1856  I 1449  I 1432  I
MX0000020061994TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI 1907  I  986  I 1275  I
MX0000020061995TAVG 1305  I 1302  I 1625  I 1422  I 1871  I 2099  I 2494  I 2560  I-9999   -9999    1644  I 1216  I
MX0000020061996TAVG 1236  I 1359  I 1661  I-9999 QI 2439  I 2390  I 2558  I 2747  I 2522  I 1852  I 1834  I-9999 QI
MX0000020061997TAVG 1498  I 1502  I 1545  I 1612  I 1849  I 2091  I 2389  I 2523  I 2462  I 1902  I 1735  I 1218  I
MX0000020061998TAVG 1322  I 1168  I 1202  I 1707  I 1731  I 1955  I 2644  I 2734  I 2212  I 2016  I 1735  I-9999 QI
MX0000020061999TAVG 1484  v 1514  v 1269  v 1653  v 1878  v 2225  v 2309  v 2334  v 2209  v 2065  v 1755  v 1585  v
MX0000020062000TAVG-9999 Qv 1525  v 1470  v 1895  v 2205  v 2405  v 2315  v 2415  v 2245  v 1575  v 1435  v 1500  v
MX0000020062001TAVG 1150  v 1490  v 1470  v 1650  v 2095  v 2400  v 2690  v 2520  v 2455  v 2019  v 1835  v 1155  v
MX0000020062002TAVG 1235  v 1380  v 1615  v 1690  v 2160  v 2250  v 2175  v 2380  v 2595  v 2180  v 1879  v 1395  v
MX0000020151953TAVG-9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999   -9999    2254  I 1952  I 1506  I
MX0000020151954TAVG 1459  I 1764  I 1598  I 1838  I 1883  I 2083  I 2660  I 2524  I 2219  I 1992  I 2329  I 2070  I
MX0000020151955TAVG 1303  I 1504  I 1747  I 1813  I 1867  I 2064  I 2396  I 2739  I 2633  I 2002  I 1793  I 1598  I
MX0000020151956TAVG 1586  I 1318  I 1661  I 1680  I 1995  I 2333  I 2537  I 2521  I 2825  I 1992  I 1942  I 1863  I
MX0000020151957TAVG 1710  I 1810  I 1779  I 1747  I 1933  I 2174  I-9999 QI 2332  I-9999    2091  I 1814  I 1993  I
MX0000020151958TAVG 1760  I 1737  I 1488  I 1943  I 2178  I 2275  I 2328  I 2736  I 2678  I 2544  I 1952  I 1951  I
MX0000020151959TAVG 1620  I 1571  I 1936  I 1977  I 1867  I 2255  I 2725  I 2683  I 2409  I 2154  I 1862  I 1573  I
MX0000020151960TAVG 1244  I 1405  I 1676  I 1915  I 1971  I 2267  I 2705  I 2567  I 2755  I 2206  I 1932  I 1736  I
MX0000020151961TAVG 1761  I 1673  I 1698  I 1954  I 2004  I 2262  I 2667  I 2639  I 2494  I 2353  I 1824  I 1443  I
MX0000020151962TAVG 1504  I 1697  I 1499  I 1874  I 1873  I 2129  I 2540  I-9999    2499  I 2131  I 1854  I 1652  I
MX0000020151963TAVG 1446  I 1912  I 1691  I 1789  I 1964  I 2091  I 2614  I 2649  I-9999 QI-9999 QI-9999   -9999   
MX0000020151964TAVG-9999 QI-9999 QI-9999 QI-9999   -9999   -9999   -9999   -9999   -9999    2204  I 1739  I 1611  I
MX0000020151965TAVG 1672  I 1505  I 1520  I 1879  I 1792  I 1930  I 2420  I 2741  I 2516  I 2459  I 2034  I 1643  I
MX0000020151966TAVG 1531  I 1610  I 1730  I 1837  I 2053  I 2219  I 2580  I 2709  I 2569  I 2225  I 1964  I 1660  I
MX0000020151967TAVG 1543  I 1680  I 1741  I 1612  I 2054  I 2144  I 2622  I 2734  I 2432  I 2335  I 1925  I 1559  I
MX0000020151968TAVG 1564  v 1724  v 1674  v 1718  v 1884  v 2194  v 2649  v-9999   -9999   -9999   -9999   -9999   
MX0000020151969TAVG 1729  v-9999    1679  v 1859  v 1968  v 2043  v 2419  v 2334  v-9999    2099  v 1974  v-9999   
MX0000020151970TAVG 1434  I-9999    1823  I 1650  I 1993  I 2134  I 2679  I 2660  I 2565  I 2088  I 1818  I 1644  I
MX0000020151971TAVG 1497  I 1494  I 1688  I 1648  I 1778  I 2059  I 2560  I 2762  I 2609  I 2135  I 1807  I 1455  I
MX0000020151972TAVG-9999    1759  I 1813  I 1917  I 1930  I 2205  I 2738  I 2805  I-9999   -9999    1771  I-9999   
MX0000020151973TAVG 1442  I-9999 QI 1046  I-9999 QI 2000  I 2196  I 2593  I 2456  I 2279  I 2292  I 1854  I 1838  I
MX0000020151974TAVG 1620  I 1781  I 1765  I 1876  I 1942  I 2140  I 2511  I 2710  I 2363  I-9999    1856  I 1592  I
MX0000020151975TAVG 1560  I 1529  I 1546  I 1531  I 1796  I-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI
